user_id,item_id,item_name,category,rating,review_text,timestamp
671,462,Bàn phím K1242,Bàn phím,2,"Tạm ổn nhưng hành trình phím yếu, size không chuẩn.",2025-09-02 04:35:00
188,496,Tablet T316,Máy tính bảng,4,"Đáng mua, bút cảm ứng mượt, bảo hành rõ ràng.",2024-03-10 05:48:00
3,437,Sách S1037,Sách,3,"Mức trung bình, biên tập ổn, phụ kiện đầy đủ nhưng đóng gói sơ sài.",2025-02-20 03:25:00
248,265,Balo B955,Balo,1,"Chất lượng kém, chất liệu không như mô tả, kết nối không ổn định.",2025-02-05 07:48:00
789,326,Tai nghe A446,Tai nghe,2,"Chưa hài lòng, kết nối Bluetooth bình thường, pin tụt nhanh.",2024-07-10 04:30:00
854,398,Máy in P1508,Máy in,5,"Không có gì để chê, tốc độ in hoàn hảo!",2024-09-24 18:20:00
216,497,Giày G817,Giày,1,"Chất lượng kém, êm ái không như mô tả, màu sắc không đúng mô tả.",2025-07-31 07:45:00
989,344,Màn hình M1144,Màn hình,1,"Rất thất vọng: độ sáng cực kỳ yếu, hay giật lag.",2025-01-13 17:49:00
82,33,Giày G833,Giày,1,"Rất thất vọng: độ bám cực kỳ yếu, màu sắc không đúng mô tả.",2025-01-26 18:22:00
739,443,Laptop L243 Ultra,Laptop,1,"Rất thất vọng: màn hình cực kỳ yếu, hay giật lag.",2024-04-06 07:21:00
862,296,Balo B916,Balo,5,"Tuyệt vời, chất liệu vượt kỳ vọng, đóng gói cẩn thận!",2024-12-23 08:57:00
773,210,Bàn phím K1230,Bàn phím,1,"Rất thất vọng: hành trình phím cực kỳ yếu, máy nóng.",2025-07-15 18:46:00
123,105,Màn hình M1105,Màn hình,1,"Trải nghiệm tệ, độ chuẩn màu kém; sản phẩm không đáng tiền.",2025-07-04 14:18:00
28,279,Bàn phím K1239,Bàn phím,2,"Sản phẩm có điểm cộng nhỏ, nhưng kết nối không ổn định.",2024-10-27 04:41:00
369,478,Giày G878,Giày,5,"Không có gì để chê, êm ái hoàn hảo!",2025-09-01 04:47:00
585,474,Chuột M1354,Chuột,3,"Ổn trong tầm giá, kết nối vừa phải.",2024-10-29 00:34:00
303,174,Tablet T354,Máy tính bảng,3,"Ổn trong tầm giá, loa vừa phải.",2024-08-02 14:12:00
686,63,Balo B963,Balo,2,"Sản phẩm có điểm cộng nhỏ, nhưng size không chuẩn.",2024-04-21 19:45:00
252,465,Đồng hồ S515,Đồng hồ thông minh,1,"Dùng 1 thời gian ngắn đã gặp lỗi, mặt đồng hồ tệ.",2024-05-17 04:28:00
242,485,Balo B965,Balo,5,"Không có gì để chê, ngăn chứa hoàn hảo!",2024-05-01 04:49:00
122,361,Tablet T301,Máy tính bảng,5,"Rất ưng ý, loa xuất sắc, giao hàng nhanh!",2025-06-14 02:31:00
318,354,Tai nghe A404,Tai nghe,1,"Trải nghiệm tệ, kết nối Bluetooth kém; sản phẩm không đáng tiền.",2024-01-03 12:21:00
16,294,Điện thoại X124 Pro,Điện thoại,3,"Dùng được, camera tạm được, bị trầy nhẹ khi nhận.",2025-07-15 12:01:00
302,486,Đồng hồ S536,Đồng hồ thông minh,1,"Chất lượng kém, pin không như mô tả, pin tụt nhanh.",2024-03-03 05:43:00
269,256,Router R1416,Router,1,"Chất lượng kém, độ ổn định không như mô tả, size không chuẩn.",2025-01-14 01:14:00
529,41,Tablet T341,Máy tính bảng,4,"Chất lượng ổn định, đa nhiệm đáng khen, giao hàng nhanh.",2024-10-09 22:15:00
842,460,Tai nghe A440,Tai nghe,3,"Ổn trong tầm giá, độ thoải mái vừa phải.",2024-08-30 13:05:00
603,395,Điện thoại X135 Pro,Điện thoại,4,"Đáng mua, màn hình mượt, giá hợp lý.",2024-02-06 18:49:00
744,74,Router R1434,Router,2,"Chưa hài lòng, vùng phủ bình thường, màu sắc không đúng mô tả.",2024-06-20 20:56:00
662,16,Áo thun Q716,Quần áo,4,"Đáng mua, form dáng mượt, phụ kiện đầy đủ.",2025-02-09 19:44:00
729,152,Tablet T332,Máy tính bảng,5,"Không có gì để chê, loa hoàn hảo!",2025-02-26 13:17:00
482,74,Router R1434,Router,4,"Chất lượng ổn định, độ ổn định đáng khen, bảo hành rõ ràng.",2024-05-08 12:58:00
110,173,Laptop L213 Ultra,Laptop,3,"Mức trung bình, tản nhiệt ổn, bảo hành rõ ràng nhưng đóng gói sơ sài.",2024-04-06 13:58:00
78,262,Tablet T322,Máy tính bảng,3,"Không nổi bật, đa nhiệm bình thường, phụ kiện đầy đủ.",2025-08-21 00:29:00
769,447,Sách S1047,Sách,3,"Ổn trong tầm giá, nội dung vừa phải.",2025-04-07 04:59:00
422,30,Balo B930,Balo,2,"Giá chưa tương xứng, chất liệu dưới kỳ vọng.",2024-01-05 08:09:00
994,410,Giày G810,Giày,5,"Không có gì để chê, độ bám hoàn hảo!",2024-12-10 23:05:00
845,18,Điện thoại X118 Pro,Điện thoại,2,"Tạm ổn nhưng màn hình yếu, size không chuẩn.",2024-11-06 04:15:00
952,237,Máy ảnh C637,Máy ảnh,4,"Đáng mua, chất lượng ảnh mượt, bảo hành rõ ràng.",2025-07-01 02:10:00
221,172,Router R1412,Router,5,"Không có gì để chê, độ ổn định hoàn hảo!",2024-09-30 21:05:00
